WORD1;WORD2
master packing slip;упаковочная, сводная ведомость
mastering;освоение
Mat. model;Плаз, мат.модель
material activity list;заказная ведомость материалов
material expenditure;расход материала
material expenditure list;ведомость расхода материалов
material index list;ведомость поставляемых изделий
material outlay;расход материала
material stock No;складской номер материала
material summary;сводный перечень материалов
maternity leave;Декрет
Matrix;Пуансон
Mattress;матрац
Max concentrated load;Максимальное сосредоточение нагрузки
Means of production;Средства производства
Measurement;Размерение, измередие, размеры
measurement range;пределы измерения
Measurement summary table;Сводная таблица замеров
Measuring device;Мерное устройство
mechanical engineering;МСЧ (машиностроительная часть)
Mechanical package;Механическая установка
Mechanical property;Механическое свойство
mechanical shop;механическая мастерская
Mechanical stress;Механическое воздействие
mechanical traction;механическая тяга
mechanization means;средства механизации
media;блоки, формат листа,средства массовой информации
medium-alloyed;среднелегированный
medium-level personnel;персонал среднего уровня
melting;плавка, расплавленный
Melting kiln;Плавильная печь
membrane;пленка
mend;"Ремонтировать; чинить; исправлять"
Merely;Единственно, исключительно, только
merge;объединять
Mesh reinforcement;Арматурная сетка
Mess call;Сигнал приема пищи
mess room;кают-компания
mess table;обеденный стол
message display;дисплей сообщений
messenger;вахтенный матрос
metacentric;метацентрический
Metacentric height;Метацентрическая высота
metal dust;металлическая пыль
metal fused-on spatter;металлические направленные брызги
metal sign;металлическая табличка
metal spacer;металлическая прокладка
metal waster paper basket;металлическая корзина длямусора
Metal works;Работы по металлу
metallography;металлография
Metric thread;Метрическая резьба
micro or macro crack;микро или макро трещина
Microaerophile;микроаэрофия
Micrometer, mm;Микрон, мкм
Micron, mm;Микрон, мкм
microscope;микроскоп
Midship;Мидель
Migrant labour;Сезонные рабочие
Milestone plan;план основных событий
mill;фрезерный станок
mill scale;окалина
milling;прокат
Milling machine;Фрезерный станок
Milling plate;Фрезерованный лист
miner frame;отбойная рама
Minimum stock;Резервный запас
Ministry of Economy;министерство хозяйства
Minor;Незначительный, второстепенный, малый
misalignment;разностен, несоосность, несовпадение с осью, нецентричность, несовпадение, смещение
miscellaneous material;различный материал
mismatch;Несоответствие, несогласованность, несовпадение, рассогласование
Missed;Пропущенный
missing part;недостающая часть
Mist-followed-by-full;Туманный слой – последующий полный
Misuse;Злоупотребление, неправильное использование
Mixed adhesive;Комбинированный клей
Mixer pallete;Поддон для миксера
mixing valve;смешанный клапан
mixture;смесь
mobile lifting scaffoldings;передвижные подъемные леса
mobile sandblasting doublepost system;пескоструйная двухпостовая установка передвижная
mock-up;макет в натуральную величину
mode;рижим, способ, метод
Model tests;Модельные испытания
modernization;модернизация
modified bitumen;модифицируемый битум
modified drawing;откорректированный чертеж
Modulated carrier;Модулированная несущая
module;модуль
Module lining;Модульная зашивка
Moldability;Пластичность
Monkey business;Бессмысленная работа
monorail;Монорельс
Monorail crane carrier;Кронштейн монорельсового крана
moorage;причал
mooring anchor;мертвый якорь
Mooring bracket;Швартовочная кница
mooring pedestal;причальная тумба
mooring rope;швартовочный трос
Morainal ground;Маренный грунт
moral and material factors;моральные и материальные факторы
Morse code;код морзе
mortise latch;врезная задвижка
Mother-father central lock;Центрирующий упор
Motor driven screw jack;Винтовой домкрат с электроприводом
motor-car;автомобильный
motor-mechanic;моторист
motto;девиз
mould;Литейная форма, плаз, форма, шаблон, отливка, матрица, профиль, раскладка
Moulded;Теоретический, формовочный
Moulded line;Теоретическая линия
Moulded lines;Линии теоретического чертежа
Moulded side of plate;Теоретическая сторона листа
Moulding;Отливка, формовка
mount;Подвеска
Mount;опора
mounting;монтаж, кантование, установка
Mounting attachment;Узел крепления
Mounting strip;Монтажная полоса
Movement;Движение
moving;переселение, накат
Mowingmachine;Сенокосилка
MSB;главный распределительный щит
mud;Грязь
Muff;Втулка, муфта, гильза
muffler;заглушка
multipass;многоходный
mutual assistance;взаимопомощь
N;
nail;гвоздь
Nail screw;Шуруп
nap;Начес, ворс
Narrow;Узкий
narrow joining panel;узкая соединительная (забойная) панель
natural ventilation;естественная вентиляция
Nature of work;Тип работы
nature protection bodies;органы охраны окружающей среды
Naval;Судовой, морской, военно-морской
Naval architect;Инженер-кораблестроитель
Navigation lamps;Ходовые огни, навигационные огни
navigator’s table;стол штурманский
Near work;Кропотливая работа
Needle;Игла
Negative camber;Отрицательный развал колес, отрицательная погибь
negatoscope;негатоскоп
Negligence;Неосмотрительность, небрежность, неосторожность, халатность
Negligent act;Неосмотрительный поступок, неумышленное действие, халатное действие
negotiable;Договорной
neoprene;Неопрен
nesting;раскрой
Network;Сетка, сеть
Network facilities;Сетевое оборудование
Network layout sketch;Эскиз разбивки сетки
Neutral body;Нейтральная организация
Newly-built;Вновь построенный
Newly-produced;Вновь изготовленный
nibbler;станок для вырезания из листового материала криволинейных заготовок
nickel-plating;никелирование
night table;ночной столик
nipple;штуцер, ниппель
Noble metal alloy;Сплав благородных металлов
no-load running;холостой ход
no-load stroke;холостой ход
non return valve;невозвратный клапан
Non-admittance;Недопущение
non-conformity;несоответствие
non-destructive examination;неразрушающий осмотр
Nonetheless;Тем не менее, все же
Non-flatness;Неплоскостность
Non-return valve;Обратный (невозвратный) клапан
normal;нормаль
Normative technical documentation;Нормативно-техническая документация
Not collapsible;Неразрушаемый
notch;надрез
note;Отметка
Notes execution;Обработка замечаний
notification of readiness of the goods for shipment;уведомление о готовности товара к отгрузке
noting;Отметка
Numeral designation;Цифровое обозначение
nut;гайка, муфта
O;
obligation;обязательство
obliquity;скос, конусность
OBO carrier;"Комбинированное судно для перевозки нефти и навалочных грузов, вкл. Руду; судно типа ОВО; балк-танкер-рудовоз"
observation;Замечание
obsolete;устаревший
obstacle;препятствие
obviously;Видимо, очевидно
occupation;род занятий
Occurrence;Появление, возникновение, проишествие, случай
office;бюро
Office facilities;Офисное оборудование
office hours;рабочий день
officers and crew;личный состав
Off-peak ticket;Льготный билет
offset table;таблица плазовых ординат, таблица несовпадений
offsetting;Смещение, несовпадение, сдвиг, уход, отклонение
Offshore crane;Морской кран
oil content rags;нефтесодержащая ветошь
Oil drilling;Сверление для смазки
Oil ejector;Масленка
Oil mix box;Масляный ящик
Oil repellent cloth;Материал с маслом для отпугивания насекомых
Oil rig;"Нефтяная вышка; установка для бурения нефтяных скважин"
Oil tightening torque;Связующий момент затяжки со смазкой
Omission;Оплошность, упущение, задержка
On completion;По окончании, по завершении
On the grounds of;На основании
On the horizontal plane;В горизонтальной плоскости
On-coating;Окончательная покраска
One side butt welding;Односторонняя сварка встык
One side welding station (OSW);Станция односторонней сварки
one-sided;односторонний
On-line;Оперативный режим, системный режим, диалоговый режим
onwards;"Вперед; далее"
Open to new information;Гибок (открыт) для новой информации
opening;вырез
operating air;пусковой воздух
Operating level;Рабочий уровень
Operating manual;Рабочее руководство
operating temperature;рабочая температура
Operational status;"Рабочее состояние; эксплуатационная пригодность"
operator;Управляющее устройство, оператор
opportunity;возможность
optical fiber cable;оптоволоконный кабель
option;выбор, право выбора
Optional “swing-up” thruster;Необязательное «подъемное» подруливающее устройство
Optional service;Необязательная, факультативная услуга
Organizational question;Организационный вопрос
Oriental toilet;Восточный туалет
Orifice;Дроссель
Orifice hole;Дросселирующее отверстие
Original deck;Старая, первоначальная палуба
oscillation;колебание
Osmosis;Осмос
Out of flat;Неплоскостность
Outboard branch pipe;Забортный патрубок
out-building;служебное помещение
out-door building berth;открытый стапель
Outer kick steps;Ступени наружных трапов
outfitting;насыщение
outfitting activities groups;бюро обслуживания
outfitting list;перечень насыщения
Outfitting production;Достроечное производство
Outflow;Утечка, убыль, вывоз, сливtr>
outlet;Розетка
Outlet box;Выходная коробка
Outline;Контур
outline drawing;контурный чертеж
Out-of-balance;Разбалансировка
Out-of-commission status;В неисправном состоянии
output;производительность
Output for external alarm;Наружная аварийная сигнализация
outputting;выпуск
Outsourcing jobs;Сторонние работы
outstanding;нерешенные вопросы
Outstanding accounts;Неоплаченные счета
Outstanding deficit;Непокрытый дефицит
outstanding sum;невыплаченная сумма
Outstanding works;Незавершенные работы, предстоящий объем работ
outstrengthening;раскрепление
over;При измерении по диаметруили поперек в диаметре, размер поперек
overall;"Спецодежда; комбинзон"
Overall hight;Общая высота
overbuilding;обстройка
overflow pipe;переливная труба
Overflow system;Система перелива
Overflow tank;Переливная цистерна
overhang;Свес, навес
overhanging;Свешивание
overhaul;Подробный осмотр, ремонт, капитальный ремонт
Overhead;Накладные расходы
overhead crane;мостовой кран
overhead cupboard;шкаф подвесной
Overhead monoral conveyer;Монорельс
Overhead panel;Подвесная панель
Overhead welding;Потолочная сварка
Overheating guard;Защита от перегрева
overlapping plate;накладной лист
Overlength;Припуск
Overload capacity;Максимальная допустимая мощность
Overmeasure;Припуск
overrun;Движение с превышением скорости
over-spray;избыточное расспыление
oxidation;оксидирование
P;
PA system microphon;Усилитель системного микрофона
"PA; P/A; P.A. (personal assistant)";"Личный помощник; секретарь"
Pack away grating;Решетка без упаковки
Package;Узел, блок, модуль, контейнер, ящик, упаковка
Package machine;Разливочная или упаковочная машина
Package unit;Малогабаритная установка, передвижная компактная установка
Packed bed;Уплотненный слой
Packing;Уплотнительный, упаковочный, уплотнитель
Packing factor;Степень уплотнения
packing slip;упаковочная ведомость
pad;прокладка
padlock;висячий замок
Paint free area;Неокрашиваемая зона
Paint hall;Окрасочный цех
paint hat;защитная накидка (одевается на голову и плечи до пояса)
paint mixer;аппарат для смешивания краски
paint mixing, heating and storage space;место смешивания, нагревания и хранения краски
Paint preparation solution;Подготовка окрасочного раствора
painting shop;малярная
pallet;поддон
panel;полотнище, панель
Panel walls and blankets;Зашивка панелями
paneling;зашивка панелями(в помещении)
panic bolt (opener);затвор, открывающий дверьпри нажатии
Pantry;"Буфет (для кают-компании); кладовая для продуктов"
parallelism;Параллельность, параллелизм
parent materials;основные материалы
Parol;Судебная защитительная речь, устное показание, устное заявление
Parol contract;Устный договор, простой договор, договор не за печатью
part generation;деталлировка
participant;участник
particulars;детали, подробности, обстоятельства
partlist;спецификация на детали
passing over;передача (судна заказчику)
passport;паспорт
patent bureau/agency;патентное бюро
Pathogen;Патогенный, болезнетворный организм
pay-book;расчетная книжка
payroll;платежная ведомость
pay-sheet;платежная ведомость
Pedestal;Основание, опорная подушка, подставка, тумба, опора
Pendant;Шкентель
pendulum;маятниковый
penetration;отверстие входа и выхода, стакан, проникание, проницаемость, глубина разрушения коррозией, пробивная способность
Per instance;На случай
percussion bend;ударный изгиб
perfection;усовершенствование
performance;исполнение
period of heave;период волнения моря
period of pitch;период килевой качки
period of roll;период бортовой качки
permanent;Постоянный
permanently;"постоянно; неизменно"
permissible;допустимый
Permissible load;Допустимая нагрузка
permission;разрешение
Person declared undesirable;Человек, объявленный нежелательным лицом
Personal identity pass;Личный идентификационный пропуск
personal protection equipment;средства индивидуальной защиты
Petroleum;Нефть
P-form;П-образная
photo-electrical;фотоэлектрический
physical-mechanical;физико-механический
Pictorial;Панорамный, графический, изобразительный, наглядный
piece-list;перечень образцов (спецификация)
pier;эстакада, пирс
pigment;пигмент, краситель
Pile;Свая
piler;штабелер
pilferage;мелкая кража
pillar;столб, стержень коллоны, коллона, стойка, опора, столы, пиллерс
Pillar head;Наголовник пиллерса
Pillar heel;Башмак пиллерса
Pillow;Подушка, подкладка
pilot;Направляющее устройство
Pilot bridge;Ходовой мостик
Pilot light;Контрольная лампа включения
pin;болт, шпилька, палец, стержень, ось, кнопка, бочка, эл. Линия, игла печатающ. Устройства, графейка, упор, штифт, нагель
Pin gage;Штихмасс
Pin gauge;Штихмасс
Pinbolt;Шпилька
Pine plank;Сосновая доска
pine-wood bar;сосновый брус
pinhole;микроотверстие
pin-jig;коксовая постель
Pink-collar (worker);розовый воротничок, работница сферы обслуживания, секретарша, машинистка и т.п.
pipe;труба, трубопровод, подавать по трубопроводу, перекачивать по трубопроводу, транспортировать по трубопроводу, усадочная раковина, образовывать усадочные раковины, свищ, газовый канал, отдулина, клюз, волновод
Pipe clamp;"Трубная подвеска; трубный зажим"
Pipe collar;Трубная соединительная муфта
pipe connection;соединительная муфта для труб
Pipe extension;Удлинение трубы
Pipe isometrisms;ISO чертежи для труб
pipe manifold;магистраль труб
pipe of flux oil discharge;труба спуска гудрона
pipe stiffener;трубчатый раскос
Pipe thread;Трубная резьба
pipe-fitter;слесарь-водопроводчик
pipeline welded penetration drawing;чертеж приварного насыщения трубопроводов
Pipeliner;Трубопроводчик
Pipes and components in “cut” areas for deckhouse/casing;Забойные детали систем в надстройке и шахте МКО
piston compressor;поршневой компрессор
Piston monometer (pressure gauge);Поршневой монометр
pitch pan filler;прокладка поддона
pivot;стержень
place-shield;плаз-щит
placing;посадка
plan;Горизонтальная проекция
plan of quality control;план обеспечения контроля качества
plan view & elev.;Горизонтальная и вертикальная проекция
plane of bulkhead;плоскость переборки
Plane section;Плоская секция
planing;строжка
plant;установка
plasma-cutter;плазмотрон
Plasma-cutting robot;Робот плазмарезки
plasma-making gas;плазмообразующий газ
plastic;пластмасса
Plastic foam;Пенопласт
plate;плата, пластина, лист
Plate bundle;Пачка листов
Plate orientation;Ориентация листа
plate-collar;обделочный лист
platen;бумагоопорный валик, плита, пластина, планшайба, оригиналодержатель, стол
Platform;Ростверк
Plating;Настил из плит
Plexiglass;Плексигласовое стекло
Plimsoll mark;Грузовая марка
plug;втулка, свеча (зажигания)
Plumb;Весок, отвес, грузило
Plummer block;Опорный подшипник
pneumovice;пневмотиски
Podest (немецк.);Площадка, платформа
Point load;Точечная нагрузка, точечный груз,сосредоточенная нагрузка
Point load;Точечная нагрузка
polarity;полярность
Polyethelene film;Полиэтиленовая пленка
Polyethylene;Полиэтилен
Pool’s opening;Проем бассейна
poop deck;палуба юта
Poor geometry;Плохая геометрия
Popping;Растрескивание, вздутие
pop-rivet;заклепка
porosity;пористость
porosity (chalk-kerosene);мел-керосин
port side;левый борт
portable;переносной
portal;Портал
Portal leg;Портальная опора
portiere-holder;портьеродержатель
Position data;Данные позиционирования
positioner;позиционер
Positioning system;Система позиционирования
Positive reference;Положительный отзыв
possible dimensions of quay area for rails specified during these rails manufacture;размер участка рельсов на пирсе “по месту”
post;стойка
post weld heat treatment;теплообработка после сварки
postponement;отсрочка
postweld;после сварки
Pot lid;Крышка кастрюли
pot life;долговечность (материала) при хранении, срок годности (материала) при хранении, жизнеспособность (клея, резиновых смесей, лакокрасочных материалов)
Pot shell;корпус разливочной ванны, стальная ванна
Potable water;Питьевая вода
pounding water;запруженная вода
pour point;температура потери текучести
pouring;разливка
Power comsumption;Расход энергии
power cord;электрический шнур
Power cut;Отключение электроэнергии
Power pack;Блок питания
power room;отделение главных генераторов
Power source;Энергоисточник
power supply;Энергоснабжение, энергохозяйство
power system;энергосистема
power truck;электрокар
power-securing;энергообеспечение
predominant;Преобладающий
prefabrication;Предварительная сборка, подготовка
Prefabrication drawing;Чертеж МСЧ, сборочный чертеж
preheat temperature;температура предварительного нагрева
pre-heater;подогреватель
preliminary caulks;предварительная конопатка
Premature wear;Преждевременный износ
prematurely;преждевременно
prescriptive;предписывающий
Preservation;Созранение, предохранение, консервация
preset;предварительная установка, предварительная наладка, предварительная настройка, предварительно задавать
Press brake(s);Кромкогибочный пресс
pressing;сжатие
Pressure air;Нагнетательный воздух
Pressure block;Прижимной блок
pressure gauge;манометр
Pressure height;Длина по давлению
Pressure test;Испытание под давлением
Primary hot face refractory lining;Первоначальная огнеупорная футеровка рабочей поверхности
primer;грунт
Primer hard swept;Грунт очищенный сильным обдувом
Primer sweep blasted;Грунт очищенный методом обдува
principal drawing;типовой чертеж
principally;Главным образом
privilege;Льготный
Procedure;Технология, технологтческий процесс, процедура, порядок
processing;переработка
procrastination;промедление, оттягивание, волокита
procurement;материально-техническое снабжение
Product line;Ассортимент изделий, предметно-производственная специализация
Production equipment;Оборудование производственного назначения
Production facilities;Производственные помещения
Production foreman;Производственный мастер
production schedule;график строительства
Production subdivision;Производственное подразделение
Production subdivision area;Участок производственного подразделения
Productive time;Полезное время
Productivity;Производительность, продуктивность
Profile and plan;"Вертикальный разрез и горизонтальная проекция; профиль и план"
Profile cutting line;Линия резки профиля
Profile end fastening;Подсоединение концов профиля
profile-list;спецификация на профили
Profit;Прибыль, доход
Program (data) unit;Программная единица (данных)
progress report;отчет по строительству
Project management scheme;Схема управления проектом
prolongation;продление, отсрочка
Prolonged life time;Длительный срок износа
Promotional purpose;Рекламная цель
prop;опора (для кранца)
Propane-butane torch;Пропан-бутановая горелка
propeller;гребной винт
propeller blade;лопасть винта
Propeller boss;Ступица гребного винта
propeller guard;кожух винта
propeller hub;ступица винта
Propeller nozzle;Насадка ГВ
Propeller stern tube;Дейдвудная труба гребного винта
propeller-steering column;винто-рулевая колона
Properly;Правильно
Property;Право собственности, имущество, собственность, свойство
Proportion;Соотношение
proposal of changing;план обновления
proprietary;патентованный
Propulsion unit;"Гребной агрегат; главный двигатель; двигательно-движительный агрегат; пропульсивный агрегат (комплекс)"
pros and cons;за и против
prospect;перспектива
Protective case;Защитный кожух
Protective plate;Защитный лист
prototype container;головной контейнер
prototype vessel;головное судно
providing;обеспечение
Provision;Постановление
provision store-room;помещение провизионной кладовой
provisional;временный
provisional and permanent external stairs;временные и штатные наружные трапы
Proximity;Близость, соседство,схожесть
P-type;П-образная
Public domain;Бесплатный, государственная собственность
Publicity literature;Публицистическая литература
pull rod;тяга
pulley;шкиф, блок
pump;насос
Pump connection;Тяга насоса
pump over station;станция перекачки
Pump room;Насосное помещение
punch;Штамп, пробойник, пуансон, кернер, пробивать, прокалывать, перфорировать, штамповать, керновать
punch pliers;дырокол, плоскогубцы
punching;Кернение, пробивание отверстий, штамповка
punching and shearing machine;листорезно-дыропробивной станок
punching press;дыропробивочный станок
purchase department;отдел снабжения
purchased item;покупная единица
Purchasing department;ОМТС
purification of sewage;очистка сточных вод
purity;Чистота
Push bottom box;Гнездо (коробка) нажимной кнопки
Push-up distance;Температурное увеличение
Putting into operation;Пуск в действие, введение в эксплуатацию
putting up;вывешивание
PVC cover;тентовое покрытие
pyrometer;пирометр
Q;
QC department;Отдел контроля качества
qualitative;Качественный
Quality assurance;Обеспечение качества
Quality checker;Инспектор, браковщик
Quality control;Инспектирование (контроля) качества
Quality inspection;Инспектирование (контроля) качества, проверка качества, приемка
Quality management system certification;Сертификация системы менеджмента качества
Quality wise best;Качественнолучший, самый качественный
Quarterly;Ежеквартально
Quay;Пирс, причал, пристань, набережная
quick-acting cleats;задрайка, зажим (в люковых закрытиях)
Quietness;Бесшумность, тишина
quotation;запросы по оборудованию и цене, катировка
Quotation marks;Кавычки
R;
rack;зубчатая рейка
rack with shelves;стелаж с полками
Radar mast;РЛ мачта
Radial run-out;Радиальное биение
Radiator cooler;Охладитель радиатора
radio-active;радиоактивный
Rag;Грат, заусенец
Ragged;Дырявый
rags;ветошь
Rail;Рельс, полоса, рейка, брусок, леер, перила, поручень, планширь
Rail fixing strap;Планка крепления рельс
Rail way with trolley for small parts;Рельсовый путь с тележкой для мелких деталей
railing;Леееное ограждение
railing section;секция леерных ограждений
railway memorandum bill;дорожная ведомость
rain-collector;водосборник
ramp;аппарель, склон, наклон
Random check;Выборочный контроль
Random inspection;Выборочный контроль
Rangehood;Паросборник, вытяжка, вытяжной шкаф, вытяжной колпак
rate;норма
rate setting;нормирование
rated power;расчетная мощность
rate-fixer;нормировщик
rate-fixing;нормирование, нормировочный
rate-fixing list;нормировочная ведомость
rate-setter;нормировщик
rate-worker;сдельщик
rating;Оценка, маркировка, нормирование, рейтинг, характеристика, параметр, номинал, класс (судна), (номинальный) режим (работы)
ratio;коэффициент, отношение, пропорция, соотношение, передаточное число, рацион
Ratio (45:1);Передаточное число
rationing;нормирование, нормирование потребления, нормирование продуктов
Raw plate;Необработанный лист
Reading;Считывание, чтение
Reasonable time;Приемлемый срок
recall;отзыв, повторный вызов, вызывать повторно, выборка (данных), выбирать (данные)
receipts;Денежные поступления
receptacle;вместилище, резервуар, тара, ящик, сосуд, гнездо, штепсельная розетка, патрон
recess;Выгородка
Recessed diameter;Утопленный (внутренний) диаметр
Recessed support;Утопленная опора, углубленная опора
recoating;Перекрытие новым слоем, повторное нанесение слоя
Recombining machine for milk;Машина для перемешивания молока
Record-keeping office of workshop;Архив цеха
Recovery;Восстановление
Rectangle;Прямоугольник
Recyclable;Многоразового использования
Recycle rate;Степень рециркуляции
redevelopment;перепланировка
reducer;трубный переходник
reduction in the;снижение
reel;катушка, барабан
reeving;запасовка (тросов, канатов)
Reference electrode;Контрольный электрод
Reference line;Отсчетная линия, опорная линия, контрольная линия
References;Ссылки, точки отсчета
Refractory material;Огнеупорный материал
refrigerating machine;рефрижераторная машина
refrigerating machinery space;помещение холодильных машин
Refrigeration plant;Холодильная установка
refrigerator hold;рефрижераторный трюм
refuse;мусор, отходы, отбросы, остатки, брак, угар
Regardless of;"Не принимая во внимание; не зависимо от; не считаясь"
Region manager;енеджер района
register;Книга, журнал записей, ведомость
Registration;Регистрация
registration office;регистрационное бюро
regulation;предписание, правило
regulator;Регулятор
Reinforced concrete floor;Железобетонный пол
reinforced concrete plate;железобитонная плита
reinforcement;крепление, усиление
Related materials;Подобные, родственные материалы
relative error;относительная погрешность
relay;Реле
Release;Разрешение, освобождение
release note for shipment;разрешение на отгрузку
Release time;Время выпуска
relevant;Соответствующий
Remains;Остатки
Remedial action;Устранение недостатков
Reminder-list;Перечень-напоминание
Remote access;Дистанционный доступ
remote control;дистанционное управление
Remote reading;Дистанционное считывание
remote valve;дистанционный клапан
removable gnyrope fair-lead;киповая планка для оттяжки
Removable hatch;Лючок
Removals;Исправление брака (?)
renovation;Модернизация, модификация
Repair determination of block;Дефектация блока
Repair procedure;Метод исправления
repair request form;дефектная ведомость
Repairman;Ремонтник
Repeated use;Многократное использование
Repeater;Репитер, ретранслятор
replacement;замена, замещение, запчасти
replenish;пополнять
replenishing;пополнение
Replenishment;Пополнение
Reported sketch;Отчетный эскиз
Representation;Повторное предъявление
Reprocessing;Переработка (материала)
request;Просить, запрос, требование, заявка, просьба
request note;карта отступлений
Requisition for materials;Требование по материалам
Requisition form;Бланк (форма) требования
Reserve;Резерв
reserve aims;резервные цели
Reserve stock;Резервный запас
Residual clearance;Остаточный зазор
resin-glass;стеклопластик
resistance;Стойкость, сопротивление
Resistance guide;Указатель сопротивления
resistant;стойкий
Respective;Соответствующий
Respectively;Соответственно
Respirator;Респиратор, противогаз
Restoration;Восстановление
Restoration of paint;Восстановление краски
Restricted audit;Выборочный контроль
restriction;Ограничение
Restrictive knee;Ограничительная кница
resulting transverse shear forces;равнодействующие поперечные сдвигающиеся силы
resumption;возобнавление
retained profit;нераспределенная прибыль
retainer;стопор, фиксатор
Retaining flange;Стопорный фланец
retirement;Пенсия, уход на пенсию
Retreatment;Переработка (материала)
return motion;обратный ход, задний ход
Reusable discard;Деловые металлоотходы
reverse motion;обратный ход, задний ход
reverse running;обратный ход, задний ход
Reversed polarity;Обратная полярность
Review;Анализ, просмотр, ревизия, проверка
revision;Литера, ревизия
Revolving chair;Вращающийся стул
rib;ребро
ribband;Рыбина, риббанд
ribbing;Ребристость, оснастка, такелажная оснастка
Rigger;Сборщик, монтажник
Right hand thread;Правая резьба
Right-down position;Перевернутое положение
Rings ( e.g. 5005 and 5009);Верхняя и нижняя части надстройки (немцы)
rinsing;Промывной
riser;Выпор
Riser;Подступенок (трапа)
rivet;заклепка
road metal layer;слой щебня
Robot;Автомат
Robot installation area;Зона установки робота
Rocker arm;Качающийся рычаг, коромысло, кулисный рычаг
rod;пруток, стержень, брус, электрод, шток
roll;список, рулон, ролик, валик, барабан, катушка, вальцовый станок, св. Наплыв, крен, бортовая качка, рулет
Rolled bar;Скругленный пруток, окантовочная полоса
Rolled edges;Перекаткромок
Rolled metal;Прокат, прокатный материал
roller;роульс, валик, ролик, рольганг
roller curtain;штора роликовая
Roller fairlead;Киповая планка с роульсом
roller shock;полуклюз с роульсом, роульс на шлюпке
Rolling-on;Накат
roll-out;раскрутка
roof;крыша, кровля
roof-covered area;эллинг
roofing;кровельные работы
room;Комната, помещение, камера, место, пространство, цех, отделение
root;Корень (св. шва)
Root face;Притупление наружной кромки
Root support;Наплавка (чтобы уменьшить зазор)
rope;трос, канат, снасть, швартов, такелаж, крепить тросом
rope lay;свивка каната
rotary guy;поворотная оттяжка
Rotating table;Вращающийся стол
Rotojet;Ротационный жиклер
rotor;ротор
Rough edge;шероховатость, заусенца
Roughening;Придание шероховатости, огрубление, выкрашивание
roughness;шероховатость, неровность
Roughness value;Показатель чистоты поверхности
Round bar;Закругленный пруток
Round nap;Круглый ворс (?)
Rounding-off;Скругление
Roundness;Круглость
route technological document;маршрутно-технологическая карта
Routine visit;Обычный, текущий визит
Routing;маршрутно-технологическая карта
Rubber cladding;Резиновая зашивка (покрытие)
Rubber damper;Резиновый амортизатор
rubberized fabric hose;дюритовый шланг
